Name,Set,Count,Type
Adamantine Trident +3,6,1,Weapon
Animalbane Dagger +1,1,1,Weapon
Belaying Pin,B,2,Weapon
Blasting Pistol +2,5,2,Weapon
Blunderbuss,B,1,Weapon
Boarding Axe,B,2,Weapon
Boarding Axe,C,1,Weapon
Boarding Pike,B,2,Weapon
Boarding Pike,C,1,Weapon
Cat-O'-Nine-Tails,B,1,Weapon
Cutlass,B,3,Weapon
Cutlass,C,1,Weapon
Cutlass +1,B,2,Weapon
Cutlass +1,C,1,Weapon
Dagger,B,3,Weapon
Dagger Pistol +1,2,1,Weapon
Distance Musket +1,6,1,Weapon
Dragon Pistol,B,2,Weapon
Dragon Pistol +1,2,1,Weapon
Enervating Pistol +3,6,1,Weapon
Falcata,B,2,Weapon
Falcata +1,1,2,Weapon
Falchion +3,6,1,Weapon
Fire Lance,B,1,Weapon
Flaming Falcata +3,5,1,Weapon
Flaming Longbow +2,5,2,Weapon
Flaming Musket +2,6,2,Weapon
Furious Broadsword +2,6,1,Weapon
Grayflame Mace +2,5,1,Weapon
Harpoon,B,2,Weapon
Harpoon,C,1,Weapon
Heavy Crossbow,B,1,Weapon
Humanbane Crossbow +2,3,1,Weapon
Humanbane Gladius +2,5,1,Weapon
Icy Boarding Pike +1,B,2,Weapon
Invigorating Kukuri +1,4,1,Weapon
Keen Falcata +1,2,2,Weapon
Keen Rapier +3,5,2,Weapon
Light Crossbow,B,1,Weapon
Longbow,B,1,Weapon
Longsword,B,2,Weapon
Longsword,C,1,Weapon
Mace,B,2,Weapon
Main-Gauche,B,1,Weapon
Morningstar,B,1,Weapon
Morningstar +1,2,1,Weapon
Musket,B,2,Weapon
Musket +1,2,1,Weapon
Musket +2,3,1,Weapon
Navigator Musket +1,3,1,Weapon
Old Salt's Rapier +2,6,1,Weapon
Pepperbox,1,1,Weapon
Pistol,B,3,Weapon
Pistol,C,1,Weapon
Pistol +1,B,2,Weapon
Pistol +1,C,1,Weapon
Quarterstaff,B,2,Weapon
Rapier,B,2,Weapon
Rapier,C,1,Weapon
Rapier +2,4,1,Weapon
Repelling Pike +1,1,1,Weapon
Saltbox,4,1,Weapon
Sap,B,1,Weapon
Seaborne Trident +1,3,1,Weapon
Seeking Harpoon +1,2,1,Weapon
Sharpshooter's Blade,3,1,Weapon
Shock Musket +1,1,1,Weapon
Short Sword,B,1,Weapon
Shortbow,B,2,Weapon
Spellsword +2,4,1,Weapon
Sword Cane Pistol +2,4,1,Weapon
Throwing Axe,B,1,Weapon
Tidewater Cutlass +1,1,1,Weapon
Toxic Blunderbuss +1,2,1,Weapon
Trident +1,2,1,Weapon
Trident +2,3,1,Weapon
Venomous Pike +2,6,2,Weapon
Whip,B,2,Weapon
Zul,2,1,Weapon
Aid,B,2,Spell
Animate Water,3,1,Spell
Animated Weapon,2,1,Spell
Aqueous Orb,2,2,Spell
Arcane Armor,B,2,Spell
Arcane Armor,C,2,Spell
Blackspot,B,2,Spell
Blazing Servant,4,1,Spell
Buoyancy,B,1,Spell
Buoyancy,C,1,Spell
Call Weapon,B,1,Spell
Charm Animal,C,1,Spell
Confusion,B,1,Spell
Control Weather,4,1,Spell
Cure,B,3,Spell
Cure,C,2,Spell
Dehydrating Touch,2,2,Spell
Detect Magic,B,2,Spell
Dimension Leap,3,2,Spell
Divine Fortune,4,1,Spell
Fear,B,2,Spell
Find Traps,B,2,Spell
Fireblade,B,2,Spell
Fireblade,C,1,Spell
Force Missile,B,2,Spell
Freezing Sphere,3,2,Spell
Frostbite,B,2,Spell
Frostbite,C,1,Spell
Geyser,2,2,Spell
Holy Feast,4,1,Spell
Holy Stone,1,2,Spell
Hydraulic Push,1,1,Spell
Illuminate,1,2,Spell
Inflict,B,1,Spell
Inflict,C,1,Spell
Instant Armor,B,1,Spell
Instant Armor,C,1,Spell
Magic Weapon,B,2,Spell
Obscure,1,1,Spell
Phantasmal Minion,B,2,Spell
Phantasmal Minion,C,1,Spell
Protect,2,2,Spell
Rage,1,2,Spell
Raise Dead,5,2,Spell
Recast,6,2,Spell
Resist Energy,4,2,Spell
Righteousness,5,2,Spell
Safe Harbor,2,2,Spell
Seamantle,5,1,Spell
Shapechange,6,2,Spell
Skeleton Crew,3,1,Spell
Speed,B,1,Spell
Sphere of Fire,1,2,Spell
Strength,B,2,Spell
Telekinesis,4,1,Spell
Tsunami,6,2,Spell
Vengeful Storm,6,2,Spell
Wall of Blades,5,2,Spell
Wall of Fire,3,1,Spell
World Wave,6,1,Spell
Animated Shield,4,2,Armor
Benevolent Buckler,1,2,Armor
Besmaran Vestments,3,2,Armor
Blackcloth Armor,2,1,Armor
Breastplate of the Deep,5,1,Armor
Brine Dragonhide Breasplate,4,1,Armor
Buckler,B,3,Armor
Buckler Gun,B,1,Armor
Chain Mail,B,2,Armor
Chain Mail,C,1,Armor
Chain Shirt,B,3,Armor
Cloth Armor,B,2,Armor
Cloth Armor,C,1,Armor
Eel Skin Armor,4,1,Armor
Flaming Buckler Gun ,6,2,Armor
Fortified Breastplate,5,2,Armor
Fortified Leather Armor,1,1,Armor
Fortified Shell Armor,3,2,Armor
Hellknight Armor,6,1,Armor
Leather Armor,B,3,Armor
Leather Armor,C,1,Armor
Magic Buckler,B,2,Armor
Magic Chain Shirt,B,2,Armor
Magic Chain Shirt,C,1,Armor
Magic Leather Armor,B,3,Armor
Magic Wooden Armor,1,1,Armor
Reflecting Buckler,5,2,Armor
Shark Skin Armor,2,2,Armor
Sniper's Studded Leather,3,1,Armor
Stanching Buckler,2,1,Armor
Wilderness Studded Leather,3,1,Armor
Wooden Armor,C,1,Armor
Wooden Shield,B,1,Armor
Aiger_s Kiss,5,1,Loot
Alise Grogblud,5,1,Loot
Besmara_s Tricorne,1,1,Loot
Brine's Sting,2,1,Loot
Buccaneer's Breasplate,2,1,Loot
Conch of the Tritons,4,1,Loot
Crossbow of Retribution,6,1,Loot
Doubleshot Pepperbox,6,1,Loot
Farglass,2,1,Loot
Howling Skull Armor,5,1,Loot
Hurricane Crown,6,1,Loot
Immortal Dreamstone,4,1,Loot
Impossible Bottle,4,1,Loot
